y,x1,x2,x3,x4,x5,x6,x7
0,0.165254,18.060003,Wed,-1.339233,109.626841,Colorado,mercedes
1,2.441471,18.416307,Friday,0.920817,84.079367,Tennessee,mercedes
1,4.427278,19.188092,Thursday,0.366093,95.375221,Texas,subaru
0,3.925235,19.901257,Tuesday,-0.251926,96.420382,Minnesota,nissan
0,2.868802,22.202473,Sunday,0.083162,90.769952,New York,toyota
0,1.926053,19.524376,Saturday,2.300792,90.511196,Florida,mercedes
0,0.094162,18.894755,Thursday,1.580408,101.066322,Nebraska,toyota
0,0.9213,19.160713,Sat,-0.867023,111.343178,California,
0,0.589354,21.627989,Wednesday,0.158446,,California,
0,1.016857,21.44,Tuesday,0.637245,99.525915,,chevrolet
1,0.853152,20.300924,Wednesday,,112.967794,North Dakota,
0,4.304882,19.302074,Sun,-1.85273,104.788566,Arizona,nissan
0,1.79937,20.725235,Friday,0.716132,93.270815,Alabama,mercedes
0,3.671553,22.20788,Tue,-1.862047,111.472466,Florida,mercedes
0,3.567967,16.644123,Wednesday,,,Minnesota,
0,4.734604,17.620364,Friday,-0.946445,93.72349,California,nissan
0,5.242691,20.527863,Thur,-0.310884,101.864787,,buick
1,5.947705,19.162528,Monday,-0.542866,,Florida,mercedes
0,1.799137,18.766066,Thursday,-0.961455,92.415748,Ohio,
0,1.085729,20.656173,Fri,-1.852744,74.062091,Pennsylvania,ford
0,5.920842,20.735024,Monday,-1.181093,,Iowa,nissan
1,4.215208,23.639019,Tuesday,-1.502235,129.663526,Indiana,nissan
1,2.42034,18.407849,Saturday,1.145184,106.055689,Vermont,subaru
1,3.59063,19.276613,Monday,1.086186,101.761794,Texas,toyota
0,4.060943,19.500571,Fri,0.032554,94.796517,Arkansas,chevrolet
0,3.932175,18.008789,Tue,1.209979,106.729647,California,
0,3.406672,18.667488,Tue,0.473005,101.782236,Arkansas,
0,1.051212,16.42339,Tuesday,,121.121444,Massachusetts,subaru
1,2.355534,22.962655,Wed,0.553332,81.015282,Indiana,
